,Fall,MajorName,Total,Male,Female,MFRatio
1283,2004,Animal Sciences,594.0,161.0,433.0,0.37
8514,2004,Food Science & Human Nutrition,413.0,95.0,318.0,0.3
13318,2004,Natural Resrcs & Environ Sci,202.0,114.0,88.0,1.3
9988,2004,Human Development & Family St,193.0,10.0,183.0,0.05
4788,2004,Crop Sciences,154.0,105.0,48.0,2.19
495,2004,Agr & Consumer Economics,85.0,50.0,35.0,1.43
9842,2004,Horticulture,74.0,50.0,24.0,2.08
13876,2004,Nutritional Sciences,55.0,11.0,44.0,0.25
349,2018,Agr & Consumer Economics,647.0,452.0,195.0,2.32
1182,2018,Animal Sciences,626.0,128.0,496.0,0.26
8374,2018,Food Science & Human Nutrition,480.0,130.0,350.0,0.37
9956,2018,Human Development & Family St,253.0,22.0,230.0,0.1
13221,2018,Natural Resrcs & Environ Sci,241.0,98.0,143.0,0.69
4663,2018,Crop Sciences,238.0,136.0,102.0,1.33
13847,2018,Nutritional Sciences,41.0,10.0,31.0,0.32
9796,2018,Horticulture,3.0,1.0,2.0,0.5
