,Fall,MajorName,Total,Male,Female,MFRatio
8065,2004,Finance,893.0,591.0,302.0,1.96
3457,2004,Business Administration,860.0,434.0,426.0,1.02
4846,2004,Curric Unassigned,385.0,241.0,144.0,1.67
3520,2004,Business Administration (MBA),305.0,225.0,80.0,2.81
13481,2004,Nondegree,33.0,21.0,12.0,1.75
3467,2018,Business Administration (MBA),2017.0,1359.0,652.0,2.08
4832,2018,Curric Unassigned,1021.0,575.0,445.0,1.29
8008,2018,Finance,887.0,572.0,315.0,1.82
13467,2018,Nondegree,97.0,50.0,47.0,1.06
3392,2018,Business Administration,95.0,41.0,52.0,0.79
