,Fall,MajorName,Total,Male,Female,MFRatio
6862,2004,Electrical Engineering,1444.0,1243.0,201.0,6.18
4470,2004,Computer Science,1192.0,1053.0,137.0,7.69
12242,2004,Mechanical Engineering,1014.0,899.0,115.0,7.82
3941,2004,Civil Engineering,757.0,599.0,158.0,3.79
4328,2004,Computer Engineering,636.0,588.0,48.0,12.25
221,2004,Aerospace Engineering,433.0,359.0,73.0,4.92
11795,2004,Materials Science & Engr,408.0,300.0,108.0,2.78
14118,2004,Physics,299.0,259.0,40.0,6.48
10332,2004,Industrial Engineering,92.0,59.0,33.0,1.79
2899,2004,Bioengineering,24.0,18.0,6.0,3.0
4361,2018,Computer Science,2318.0,1757.0,559.0,3.14
12168,2018,Mechanical Engineering,1285.0,1037.0,248.0,4.18
3887,2018,Civil Engineering,1225.0,901.0,324.0,2.78
4314,2018,Computer Engineering,1184.0,1032.0,152.0,6.79
6814,2018,Electrical Engineering,913.0,786.0,127.0,6.19
224,2018,Aerospace Engineering,686.0,581.0,105.0,5.53
11682,2018,Materials Science & Engr,504.0,357.0,147.0,2.43
2848,2018,Bioengineering,383.0,194.0,189.0,1.03
10281,2018,Industrial Engineering,367.0,262.0,105.0,2.5
14084,2018,Physics,290.0,211.0,79.0,2.67
