,Fall,MajorName,Total,Male,Female,MFRatio
14635,2004,Psychology,1361.0,373.0,988.0,0.38
3078,2004,Biology,1209.0,528.0,679.0,0.78
14328,2004,Political Science,939.0,558.0,380.0,1.47
5582,2004,Economics,742.0,551.0,191.0,2.88
3882,2004,Chemistry,694.0,387.0,307.0,1.26
12548,2004,Molecular and Cellular Biology,690.0,293.0,397.0,0.74
9608,2004,History,671.0,422.0,249.0,1.69
11992,2004,Mathematics,624.0,402.0,222.0,1.81
3744,2004,Chemical Engineering,417.0,282.0,135.0,2.09
14529,2018,Psychology,1667.0,437.0,1230.0,0.36
5517,2018,Economics,1202.0,834.0,368.0,2.27
12496,2018,Molecular and Cellular Biology,953.0,418.0,535.0,0.78
3787,2018,Chemistry,798.0,452.0,346.0,1.31
11823,2018,Mathematics,772.0,506.0,265.0,1.91
14265,2018,Political Science,768.0,422.0,345.0,1.22
3680,2018,Chemical Engineering,756.0,502.0,252.0,1.99
2968,2018,Biology,720.0,280.0,440.0,0.64
9543,2018,History,340.0,216.0,124.0,1.74
